X1,gene,entrez_id,ensembl_id,subclass,pct.1,pct.2,avg_log2FC,roc_avg_diff,roc_myAUC,roc_power,MAST_p_val,MAST_p_val_adj,dup_gene,avg_expr,avg_expr_ratio
12647,ZIC4,84107,ENSG00000174963,VLMC,0.727,0.016,6.54441634161252,4.53624373559915,0.857,0.714,1.38143173120161e-12,6.94597688765479e-8,TRUE,3.1464557553916825,1.47052580345394
12648,ZKSCAN1,7586,ENSG00000106261,Oligodendrocyte,0.836,0.839,2.00077507686871,1.38683160346616,0.657,0.314,1.54909511967393e-184,7.78900517123248e-180,FALSE,4.191960153665905,1.0260917958238882
12649,ZKSCAN1,7586,ENSG00000106261,Endothelial,0.643,0.839,1.56103094740188,1.08202419995843,0.486,0.028,4.65542527584556e-7,0.023407943829479,FALSE,NA,NA
12652,ZMAT1,84460,ENSG00000166432,Astrocyte,0.772,0.551,2.63171211493043,1.82416383250948,0.725,0.45,1.7913932172527e-217,9.00730423566829e-213,FALSE,4.0927152399963616,1.4024638211410603
12653,ZMIZ1,57178,ENSG00000108175,VLMC,0.818,0.604,3.40202253506119,2.35810232837906,0.749,0.498,5.05653114259164e-4,1,FALSE,4.167942562965359,1.2647362780926328
12654,ZMIZ1,57178,ENSG00000108175,Endothelial,0.571,0.605,2.09908880797193,1.45497748899068,0.518,0.036,0.0226912687912591,1,FALSE,NA,NA
12655,ZMIZ1,57178,ENSG00000108175,Astrocyte,0.794,0.6,2.03600321435977,1.41124988764446,0.685,0.37,1.55705882209518e-129,7.82904746337679e-125,FALSE,NA,NA
12656,ZMIZ1,57178,ENSG00000108175,OPC,0.69,0.603,1.86713913131501,1.29420222458414,0.61,0.22,9.44183275465534e-43,4.74744792736825e-38,FALSE,NA,NA
12657,ZMYM1,79830,ENSG00000197056,Endothelial,0.429,0.519,2.44232459021356,1.69289040371875,0.46,0.08,NA,NA,FALSE,NA,NA
12661,ZNF107,51427,ENSG00000196247,VLMC,0.364,0.318,1.72702146056375,1.19708005615629,0.522,0.044,NA,NA,FALSE,NA,NA
12662,ZNF107,51427,ENSG00000196247,Endothelial,0.386,0.318,2.02279855080564,1.40209711233168,0.535,0.0700000000000001,NA,NA,FALSE,NA,NA
12666,ZNF124,7678,ENSG00000196418,Microglia,0.456,0.538,2.29471769592373,1.59057710111055,0.494,0.012,3.41253811452813e-28,1.71585828936589e-23,FALSE,NA,NA
12667,ZNF131,7690,ENSG00000172262,VLMC,1,0.841,1.88926160143997,1.30953635237828,0.44,0.12,0.0491058325718015,1,FALSE,NA,NA
12671,ZNF143,7702,ENSG00000166478,VLMC,0.545,0.509,1.76739478295841,1.22506471074398,0.539,0.0780000000000001,NA,NA,FALSE,1.107618816908263,1.027422168442589
12672,ZNF146,7705,ENSG00000167635,Oligodendrocyte,0.559,0.643,1.58960752281314,1.10183197263481,0.512,0.024,1.6716653403957e-81,8.40530049804363e-77,FALSE,NA,NA
12674,ZNF160,90338,ENSG00000170949,Endothelial,0.429,0.497,2.27051706041473,1.57380249883973,0.481,0.038,NA,NA,FALSE,NA,NA
